PhraseId,SentenceId,Phrase,Sentiment,length
44878,2177,of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience,0,24
65677,3329,"All comedy is subversive , but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad",0,26
102694,5410,"dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue .",0,13
4154,156,"the kind of lush , all-enveloping movie experience",1,8
147293,8015,"It 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",1,20
42511,2050,"A strong script , powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman , who is not only a pianist , but a good human being .",1,35
44711,2168,A giddy and provocative sexual,1,5
49659,2434,intoxicating atmosphere and,1,3
124183,6667,"Quite simply , a joy to watch and -- especially -- to listen to .",1,15
113279,6018,One of the most exciting action films to come out of China in recent years .,1,16
58446,2945,stuck with a script that prevents them from firing on all cylinders,0,12
119722,6403,apparently hoping that the audience will not notice the glaring triteness of the plot device,0,15
77692,3995,Both exuberantly,1,2
124902,6712,has the disadvantage of also looking cheap .,0,8
62426,3156,blasphemous and nonsensical,0,3
32249,1511,the remarkable ensemble cast,1,4
107462,5677,emotionally and narratively complex filmmaking,1,5
23241,1053,"There 's no real reason to see it ,",0,9
73987,3784,young and old alike to go see this unique and entertaining twist on the classic whale 's tale,1,18
72298,3695,"guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels -LRB- hey , do n't shoot the messenger -RRB-",0,30
59845,3018,Stuart Little 2 manages sweetness largely without stickiness .,1,9
108518,5743,The best Disney movie,1,4
77483,3985,"is full of unhappy , two-dimensional characters who are anything but compelling",0,12
60076,3031,"she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine",0,21
56565,2840,"Blood Work is a strong , character-oriented piece .",1,9
73074,3733,"a glorified sitcom , and a long , unfunny one at that",0,12
95399,4981,really gives the film its oomph,1,6
40310,1930,the most gloriously unsubtle and adrenalized extreme,1,7
70562,3597,"While Howard 's appreciation of Brown and his writing is clearly well-meaning and sincere , the movie would be impossible to sit through",0,23
152432,8318,"is such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema .",1,17
139924,7590,"gripping portrait of Jim Brown , a celebrated wonder in the spotlight",1,12
58022,2924,imaginatively mixed cast,1,3
29124,1348,"shows a level of young , Black manhood that is funny , touching , smart and complicated .",1,18
139426,7561,that The Accidental Spy is a solid action pic that returns the martial arts master to top form,1,18
100637,5283,"Sweetly sexy , funny and touching .",1,7
90476,4709,ridiculous and money-oriented,0,3
123958,6655,"but it is a whole lot of fun and you get to see the one of the world 's best actors , Daniel Auteuil ,",1,25
75619,3877,"Bittersweet comedy\/drama full of life , hand gestures , and some really adorable Italian guys .",1,16
50819,2500,Like a Tarantino movie with heart,1,6
75358,3866,"Build some robots , haul 'em to the theatre with you for the late show , and put on your own Mystery Science Theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year .",0,52
32596,1528,to reveal his impressively delicate range,1,6
82464,4257,an artistry that also smacks of revelation,1,7
110481,5853,"When a movie has stuck around for this long , you know there 's something there .",1,17
94373,4925,a crime movie made by someone who obviously knows nothing about crime,0,12
40983,1965,ca n't remember the last time I saw worse stunt editing or cheaper action movie production values than in Extreme Ops .,0,22
114532,6092,make this a charmer .,1,5
144690,7853,"The power of this script , and the performances that come with it ,",1,14
29122,1348,"Drumline ' shows a level of young , Black manhood that is funny , touching , smart and complicated .",1,20
37260,1769,There are scenes of cinematic perfection that steal your heart away .,1,12
132939,7170,"the story is far-flung , illogical , and plain stupid .",0,11
64269,3253,"A sensitive , cultivated treatment of Greene 's work as well as a remarkably faithful one .",1,17
37356,1772,"interesting cinematic devices -LRB- cool visual backmasking -RRB- , a solid cast ,",1,13
154692,8460,pathetic junk,0,2
99805,5237,'s Lovely and Amazing,1,4
57626,2906,so it 's not a brilliant piece of filmmaking,0,9
18623,817,check it out,1,3
